Topic,Count,theme1,theme2,Name,Representation,Representative_Docs,,,,,,,,,,,,,,,,,,,,,
14,444,Health,Miscarriage,14_Abortion_Abortion_Abortion_is_contraception,"['abortion', 'abortion', 'abortion', 'contraception', 'abortion is', 'illegally', 'giving birth', 'contraception', 'child', 'abusing']","['It's not that having an abortion is bad, but I think it's cooler that she decided to take responsibility and give birth than having an abortion. I'm not going to curse her outright', 'Allow abortion', 'There are so many abortions']",,,,,,,,,,,,,,,,,,,,,
15,434,Utility,Reproduction,15_Separate sleep_Separate sleep is sleeping separately,"['separate sleep', 'separate sleep is', 'sleep', 'separately', 'sleeping', 'separate sleep', 'when grown up', 'in bed', 'by yourself', 'let's be comfortable']","['Separate sleeping is necessary. If you sleep with them, they will continue to sleep close to each other. I should have slept separately when they go to middle school. I also slept separately, but it's better because we have two kids. Let's have the second kid quickly, lol.', 'Why do we have separate sleeping?', 'We need to have sex, but it's uncomfortable to have a kid, so many people put them into separate sleeping early. Separate sleeping is not good. They need their parents' arms.']",,,,,,,,,,,,,,,,,,,,,
16,501,Population Structure,State Intervention,16_Country_Country_South_Korea_Immigration,"['country', 'country', 'Republic of Korea', 'immigration', 'Korea is', 'Korea', 'this country', 'Republic of Korea is', 'already', 'hope']","['Korea has no future. I'm preparing to immigrate to Australia.ㅠㅠ', 'Everyone, leave. Leave before Yoon Seok-yeol naturalizes South Korea to Japan. I recommend immigrating. This is the end of South Korea, which was run wild by pro-Japanese forces. Let's leave and immigrate.', 'Judging from the comments, it seems there is no hope. If a generation passes like this feeling of defeat and helplessness, then it's over. The children's generation will resent us more than the current generation. The older generation at least saved the economy, but what did our generation do? They'll say things like old farts. Have you ever lived through a frustrating time?']",,,,,,,,,,,,,,,,,,,,,
17,573,Population Structure,State Intervention,17_Someone_just_quietly_does_it_yourself,"['others', 'myself', 'quietly', 'just', 'family affairs', 'different', 'live', 'myself', 'comfortably', 'Korea or']","['I think it's right to think about solving it with what you have instead of complaining. It seems like Koreans are the most dissatisfied. There are things that need to change at the government or corporate level, but I think we should also consider methods at the individual level', 'What kind of an idiot are you to insist on meddling in other people's family affairs and saying things like that? You haven't been harmed by anyone, so don't badmouth others carelessly. They'd really hate it if you badmouthed them, lol', 'What kind of an idiot are you to insist on meddling in other people's family affairs and saying things like that? You haven't been harmed by anyone, so don't badmouth others carelessly. They'd really hate it if you badmouthed them, lol']",,,,,,,,,,,,,,,,,,,,,
18,666,Utility,Emotional Support,18_Baby_Baby_Baby_is_pretty,"['baby', 'baby girl', 'baby', 'pretty', 'very', 'baby girl', 'baby girl', 'cute', 'cute', 'can you be cute']","['The baby's hands are so cute', 'The baby is so cute', 'The baby is so pretty']",,,,,,,,,,,,,,,,,,,,,
19,504,Utility,Emotional Support,19_cute_cuteㅠㅠ_cuteyong_cuteㅠㅠㅠ,"['cute', 'cuteㅠㅠ', 'cuteyong', 'cuteㅠㅠㅠ', 'cuteness', 'cuteㅜㅜ', 'cuteㅋ', 'Hayoung', 'don't be sad', 'cuteㅠㅠㅠㅠㅠㅠㅠㅠ']","['cute', 'cute', 'cute']",,,,,,,,,,,,,,,,,,,,,
20,492,Utility,Emotional Support,20_cute_cute_agu_ago,"['cute', 'cute', 'ah,' 'ah,' 'cute', 'cuteㅋㅋㅋ', 'cute', 'oh my gosh,' 'ㅋㅋㅋ', 'cute']","['ㅋ ㅋ ㅋ cute', 'cute ㅋ', 'cute ㅋ']",,,,,,,,,,,,,,,,,,,,,
21,478,Health,Fear of Childbirth,21_Painless injection_Pain_Bone_Childbirth,"['pain injection', 'pain', 'bone', 'childbirth', 'pain', 'sick', 'childbirth', 'pain', 'uterus', 'labor pain']","['If I get an epidural injection, I won't be able to push and give birth and will have to wait in that state for a long time. If I want to give birth with a little less pain, I have to get a C-section, but if I don't get an epidural injection, it feels like a person is being stabbed with a knife tens of thousands of times, so it hurts a lot', 'What will it feel like if I get a painkiller? When giving birth, the mother has to push and it feels like 20 bones are breaking. How much will the pain be relieved if I get a painkiller?', 'I gave birth without getting an epidural injection, and I bit my teeth so hard during labor that 6 of my teeth cracked and broke. It was that hard. Epidural injections have side effects, but they say that for some people, it doesn't work. There's also a saying that if you had your first baby, you'll have your second baby sooner, but that's not true.']",,,,,,,,,,,,,,,,,,,,,
22,401,,,"22_Thank you, Mr. President, for your warm and prosperous business","['Boss', 'Warm', 'May you prosper', 'Thank you', 'Boss', 'May you succeed', 'Business', 'Really', 'Receive it', 'Customer']","['Thank you, boss', 'Thank you, boss', 'Boss']",,,,,,,,,,,,,,,,,,,,,
23,490,Values,Gender Equality,23_Military_Women_Also_Women_In_Military,"['Army', 'Women too', 'Women', 'Army', 'Army is', 'Childbirth is', 'Women are', 'Women', 'Women', 'Women']","['If women don't want to get pregnant, let's send them to the military. That's the answer', 'Men say that women are nothing to the military and don't know what they do in the military, but it's not the same. Women should go to the military too', 'In the past, women had babies, and men went to the military. These days, women have periods and men have military vacations']",,,,,,,,,,,,,,,,,,,,,
24,466,,,24_ㅋㅋㅋㅋ_Reverse_play_Bundo_Child2,"['ㅋㅋㅋㅋ', 'reverse play', 'bundo', 'child 2', 'bungeoppang', 'ㅂㅍ', 'ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ', 'ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ', '이뽀라', 'Kawaii']","['ㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ', 'ㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ', 'ㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ ㅋㅋㅋㅋ']",,,,,,,,,,,,,,,,,,,,,
25,361,Utility,Emotional Support,25_A smile is a smile_by itself,"['smile', 'laughing', 'smile', 'by itself', 'smiling', 'smiling', 'melting', 'laughter', 'smiling appearance', 'smiling angel']","['Your smile is pretty', 'I can't help but smile haha', 'I can't help but smile haha']",,,,,,,,,,,,,,,,,,,,,
26,422,Utility,Emotional Support,26_Mom_Mom_is_pretty_Mom_,"['Mom', 'Mom', 'Pretty', 'Mom', 'You are pretty', 'The best', 'Mother', 'With Mom', 'Similar', 'Because I look like']","['Mom is the prettiest', 'Mom is so pretty', 'Mom is better']",,,,,,,,,,,,,,,,,,,,,
27,493,Utility,Emotional Support,27_Baby_Be healthy_Be strong_Be happy,"['Baby', 'Be healthy', 'Cheer up', 'Be happy', 'Baby', 'Pretty', 'Have birth', 'Be healthy', 'Give birth', 'Fighting']","['What are these kids talking about here? It's a blessing to be pregnant with twins, but you're talking about something weird. Anyway, congratulations on giving birth to healthy twins, and I hope you have a happy family', 'Have a safe and healthy birth', 'Have a safe delivery, baby, and come out healthy']",,,,,,,,,,,,,,,,,,,,,
28,383,Utility,Emotional Support,28_You_speak_well_you_are ...,"['speaking', 'being good', 'doing well', 'being good', 'moving', 'talking', 'being good', 'talking well', 'why is it like this', 'talking well']","['You speak really well', 'You speak really well haha', 'You speak really well']",,,,,,,,,,,,,,,,,,,,,
29,654,Values,Gender Equality,29_Housework_Husband_Childcare_Childcare is,"['housework', 'husband', 'childcare', 'childcare is', 'woman', 'single-parenting', 'dual-income household', 'childcare', 'at home', 'man']","['But honestly, if the husband works and earns money, it's right for him to do some housework, but I think it's right for two people to do childcare. It can't be helped in the mornings, but in the evenings and on weekends', 'If one person earns money, it's right for the other person to do housework. Isn't it harder for the person earning money to come home and do housework?', 'If one person earns money, it's right for the other person to do housework. Isn't it harder for the person earning money to come home and do housework?']",,,,,,,,,,,,,,,,,,,,,
30,431,Population Structure,Early Marriage and Chidbearing,30_High School Mom Dad_High School Mom Dad_High School Students_Only High School Students,"['Goding-eom-ppa', 'Goding-eom-ppa', 'Goding', 'Goding-man', 'Middle-school-education ...","['This is separate from the video, but I wish the high school mom-dad program would disappear. Cases like Yesol and Harang are good, but they only show the kids who don't do housework and have no sense of finance, and they even show the kids bathing, lol. Have you ever thought about it from the kids' perspective? Except for a few, they're just throwing away their reputation for the sake of appearing paid.', 'This is separate from the video, but I wish the high school mom-dad program would disappear. Cases like Yesol and Harang are good, but they only show the kids who don't do housework and have no sense of finance, and they even show the kids bathing, lol. Have you ever thought about it from the kids' perspective? Except for a few, they're just throwing away their reputation for the sake of appearing paid.', 'High school mom-dad is listed below.']",,,,,,,,,,,,,,,,,,,,,
31,352,,,31_That's right_That's right_Every single word,"['correct words', 'correct', 'right', 'all the words', 'correct words', 'that's right', 'words', 'that's right', 'only the right words', 'that's right']","['That's right', 'That's right', 'That's right']",,,,,,,,,,,,,,,,,,,,,
32,521,Utility,Emotional Support,32_If_we_love_each_other_and_be_happy_that_heart,"['each other', 'love', 'if you're happy', 'that heart', 'if you share', 'happily', 'family', 'sadness', 'fate', 'living']","['I think that if two people truly love and are happy, that's all that matters. Just because they're of a similar age doesn't mean they're all well and happy. There must be a lot of hardship due to bad prejudices. I hope you cherish and respect each other and live well.', 'Creators should post creative content like creators. All they do is copy other people's content and do dirty work. Haha. That person provided useful information, so there's no resistance. If they continue to pass on unconfirmed or distorted facts and cause damage, what are they trying to do? Who in the community would do that?', 'Creators should post creative content like creators. All they do is copy other people's content and do dirty work. Haha. That person provided useful information, so there's no resistance. If they continue to pass on unconfirmed or distorted facts and cause damage, what are they trying to do? Who in the community would do that?']",,,,,,,,,,,,,,,,,,,,,
33,379,Utility,Reproduction,33_Pregnancy_I'm scared of pregnancy,"['pregnancy', 'pregnancy', 'pregnancy', 'scared', 'pregnant', 'middle school student', 'pregnant woman', 'pregnancy is', 'pregnancy rate', 'pregnancy rate']","['pregnancy', 'pregnancy', 'pregnancy']",,,,,,,,,,,,,,,,,,,,,
34,303,Utility,Emotional Support,34_cute_cute_cute_cute_cute,"['cute', 'cutie', 'cute', 'cute', 'cute doll', 'cute', 'cute', 'cute', 'cute', 'young monk', 'cute', 'cute']","['cute', 'cute', 'so cute']",,,,,,,,,,,,,,,,,,,,,
35,492,Utility,Emotional Support,35_ㅠㅠㅠㅠㅠㅠ_ㅜㅜㅜ_ㅠㅠ_ㅜㅜㅜㅜㅜㅜㅜ,"['ㅠㅠㅠㅠㅠㅠ', 'ㅜㅜㅜ', 'ㅠㅠ', 'ㅜㅜㅜㅜㅜㅜㅜ', 'Gyeoyeo-wong', 'ㅠㅠㅠㅠㅠ', 'ㅋㅋㅋㅋㅋㅋㅋㅋㅋ', 'I have to hold it in', 'ㅠㅠㅠㅠ', 'ㅜㅜ']","['This is so freaking hilarious', 'ㅠㅠㅠㅠ so cute ㅠㅠㅠㅠㅠ I'm dying from embarrassment', 'This is so freaking hilarious']",,,,,,,,,,,,,,,,,,,,,
36,286,Utility,Reproduction,36_Children_Child3_Child1_ㆍChildren,"['Child', 'Child 3', 'Child 1', 'ㆍChild', 'Basketball', 'Child 4', 'Family', 'Financial Transaction', 'Assets', 'Child's Identification Card']","['child', 'child', 'child']",,,,,,,,,,,,,,,,,,,,,
37,463,Chidrearing cost,Chid Safety,37_Corporal punishment_Corporal punishment_is_disciplinary_children,"['corporal punishment', 'corporal punishment is', 'discipline', 'kids', 'discipline is', 'discipline', 'firmly', 'like that', 'beating', 'corporal punishment']","['While judging school violence as unlenient, the comments that go on and on about how the environment and parents caused such heinous behavior are so funny. It's so frustrating to see people writing without any concept of advocacy and saying that this isn't advocacy', 'While judging school violence as unlenient, the comments that go on and on about how the environment and parents caused such heinous behavior are so funny. It's so frustrating to see people writing without any concept of advocacy and saying that this isn't advocacy', 'The reason corporal punishment is a problem is because someone assaulted someone and then punished them. I think appropriate corporal punishment is necessary. Jammins are born because they don't get punished and grow up']",,,,,,,,,,,,,,,,,,,,,
38,348,Utility,Emotional Support,38_so cute_so adorable_so pitiful,"['cute', 'so cute', 'so damn cute', 'poor thing', 'so cute', 'so damn cute', 'so damn cute', 'so damn cute', 'so damn cute', 'so damn cute', 'if it were me']","['cute', 'so cute', 'really cute']",,,,,,,,,,,,,,,,,,,,,
39,305,Utility,Emotional Support,39_Pretty_Oh my pretty_So pretty_So pretty_So pretty,"['Pretty', 'Oh my pretty', 'Gae-ip-da', 'So pretty', 'So pretty', 'So pretty', 'So pretty', 'Pretty', 'Pretty', 'Oh my pretty', 'So pretty']","['So pretty', 'Really pretty', 'Really pretty']",,,,,,,,,,,,,,,,,,,,,
40,326,Values,Conflict,40_Crying_I cried_I cried_Crying,"['crying', 'if crying', 'cried', 'crying', 'crying', 'seeing', 'crying', 'cried', 'on purpose', 'crying']","['I cried when I saw this', 'It hurts less than getting hit there. This makes you scream a lot and pass out or lose strength, but if you get hit you won't scream and it feels like the whole world is colliding with that place and then you pass out', 'It hurts less than getting hit there. This makes you scream a lot and pass out or lose strength, but if you get hit you won't scream and it feels like the whole world is colliding with that place and then you pass out']",,,,,,,,,,,,,,,,,,,,,
41,602,,,41_Seo-Aya_Again_Atta-Mamma_Freedom,"['Seo-A-Ya-Ya', 'Tto-Ttae-Ji', 'A-Tta-Mamma', 'Freedom', 'Tto-Dae-Ji', 'Hands Up', 'Tto-De-Ji', 'Aida', 'Get Up', 'Sam-Chon']","['I'm having a laugh bet with my mom. I didn't laugh, thank you. Huff, huff, ooh ...",,,,,,,,,,,,,,,,,,,,,
42,345,Utility,Emotional Support,42_Happy_Family_Be_Happy_Home,"['happy', 'family', 'be happy', 'home', 'couple', 'happy', 'two people', 'family', 'family', 'harmonious']","['It's a happy family', 'It's a happy family', 'It's a happy family']",,,,,,,,,,,,,,,,,,,,,
43,350,Utility,Reproduction,43_Sister_Sister_Younger_Younger_With my younger brother,"['Sister', 'Noona', 'Younger brother', 'With my younger brother', 'I thought I was your older sister', 'Uncle', 'With my older sister', 'Oppa', 'I thought I was your younger brother', 'With my older sister']","['Sister', 'Isn't that your sister?', 'Not your sister']",,,,,,,,,,,,,,,,,,,,,
44,418,Values,Individualism,44_Me too_We too_Tried it_Me too,"['Me too', 'We too', 'Let's try', 'Me too', 'Let's try', 'Just a moment', 'Let's do it', 'You too', 'Our country too', 'Like this']","['You're having fun, lol. I should try it too, lol.', 'I told you, just live this life like this. Those words really hit home. ㅜㅜ', 'I told you, just live this life like this. Those words really hit home. ㅜㅜ']",,,,,,,,,,,,,,,,,,,,,
45,274,Population Structure,State Intervention,45_Seoul_Only_Seoul_is_large_corporation_in_Seoul,"['Seoul only', 'Seoul is', 'large corporation', 'in Seoul', 'what are you doing', 'Seoul', 'what are you doing', 'in Busan', 'nationwide', 'nationwide']","['Seoul Bay', 'Seoul Bay', 'Seoul Bay']",,,,,,,,,,,,,,,,,,,,,
46,446,Utility,Emotional Support,46_Baby_Baby_Baby_Baby,"['baby', 'baby', 'baby-ya', 'baby-giga', 'baby-giga', 'baby-giga', 'newborn', 'baby', 'how old is it']","['I love you, baby', 'I love you, baby', 'Your baby']",,,,,,,,,,,,,,,,,,,,,
47,274,,,47_ㅡㅡ_Reallyㅡㅡ_Wow_This is too muchㅡㅡ,"['ㅡㅡ', 'Reallyㅡㅡ', 'Wow', 'This is too muchㅡㅡ', 'I used it thousands of timesㅡㅡand erased it', 'A newborn', 'Who are you blamingㅡㅡUnconditionally', 'Japanese Nonoka Chinese Luoan', 'Spy is', 'It's probably all different']","['ㅡㅡ', 'ㅡㅡ', 'ㅡㅡ']",,,,,,,,,,,,,,,,,,,,,
48,318,Population Structure,Early Marriage and Chidbearing,48_Young_Young_Young,"['age', 'young', 'age', 'youthful', 'youthful', 'mother', 'young', 'you look young', 'mother', 'Cheol-i']","['Because my mom is so young', 'My mom is so young', 'I wonder how old my daughter is']",,,,,,,,,,,,,,,,,,,,,
49,330,Chidrearing cost,Chid Safety,49_Death penalty_Life imprisonment_Imprisonment_In prison,"['death penalty', 'life imprisonment', 'imprisonment', 'in prison', '6 years', '6 years imprisonment', 'judge too', 'person', 'life imprisonment', 'imprisonment']","['It should be the death penalty', 'Whether it's a first offense or a show of remorse, I hope that the punishment for killing a person should be at least 15 years in prison, excluding probation, regardless of whether it's a first offense or a show of remorse.', 'Whether it's a first offense or a show of remorse, I hope that the punishment for killing a person should be at least 15 years in prison, excluding probation, regardless of whether it's a first offense or a show of remorse.']",,,,,,,,,,,,,,,,,,,,,
50,332,,,50_Study_Start studying in college now,"['study', 'even now', 'university', 'study', 'study', 'exam', 'school', 'math', 'math teacher', 'university is']","['School exams are hard to study for, I'm going to destroy the school', '3rd place studying, 2nd place studying, 1st place studying', 'Study']",,,,,,,,,,,,,,,,,,,,,
51,406,Chidrearing cost,Expense,51_I also had a baby who suffered at a young age,"['at a young age', 'hardship', 'having a baby', 'me too', 'having a child', 'giving birth to', 'responsibility', 'raising', 'really', 'giving birth to']","['It's amazing that you're taking responsibility for raising a child at the age you intended, whether it was by mistake or not. I wish the country would provide some support, even if it's just the smallest things', 'It's admirable that you gave birth and raised the child responsibly. However, I ask that you please not abuse the child just because life is difficult after giving birth. Please raise the child well and pretty. I hope many people will help', 'It's admirable that you gave birth and raised the child responsibly. However, I ask that you please not abuse the child just because life is difficult after giving birth. Please raise the child well and pretty. I hope many people will help']",,,,,,,,,,,,,,,,,,,,,
52,361,,,52_Thank you_Warm_World_I_Respect,"['Thank you', 'Warm', 'The world', 'Respect', 'Thank you', 'Hero Jaejoong', 'Good', 'Beautiful', 'People', 'Still']","['The world is beautiful for these people, thank you', 'These days, prison cells provide a variety of meals for three meals a day, so people with national merit are having a hard time making ends meet and even stealing things from the market', 'Thank you for the warm world']",,,,,,,,,,,,,,,,,,,,,
53,348,,,53_JTBC_Video_on_Program_Broadcast,"['program', 'broadcast', 'jtbc', 'video', 'e-pro', 'pro', 'eating show', 'Jaemin TV', 'viewers', 'Channel A']","['jtbc ㅎㅎㅎ', 'JTBC News is really crazy to watch with JTBC News', 'JTBC News is really crazy to watch with JTBC News']",,,,,,,,,,,,,,,,,,,,,
54,569,Utility,Reproduction,54_Dad_Dad_Mom_was_wrong,"['Dad', 'Dad', 'Mom', 'I was wrong', 'Dad is', 'With dad', 'Uncle', 'To dad', 'Dad', 'With mom']","['Mom', 'Mom', 'Mom']",,,,,,,,,,,,,,,,,,,,,
55,341,,,55_Rhino_Jelly_Aunt_Rhino_Jelly,"['Rhino', 'Jelly', 'Imoga', 'Rhino Jelly', 'I'll Buy It', 'Pride', 'Even If I Cry', 'Rhino Jelly', 'Because', 'Aunts']","['I'm sad I couldn't get the rhinoceros jellyㅜㅜ Don't cry, I'll buy you a box of rhinoceros jellyㅜ', 'Auntie Rhinoceros Jelly wants to buy Solji', 'Auntie Rhinoceros Jelly wants to buy Solji']",,,,,,,,,,,,,,,,,,,,,
56,318,Values,Conflict,56_Why is it like that_Why is it like that_2 clicks_What could it be,"['Why is it like that', 'Why is it like that', '2 clicks', 'What could it be', 'The People's Power', 'Why is it like that', 'Why is it like this', '2 clicks', 'Comment', 'Why is it like that']","['Why is it like that', 'Why is it like that', 'Why is it like that']",,,,,,,,,,,,,,,,,,,,,
57,350,Utility,Emotional Support,57_cute_cute_cute_cute_cuteness,"['cute', 'cute', 'cute', 'cuteness', 'cute', 'cute', 'oh my', 'cute thing', 'what should I do', 'why']","['You're so cute', 'You're so cute', 'You're so cute I'm going crazy lol']",,,,,,,,,,,,,,,,,,,,,
58,263,Health,Fear of Childbirth,58_scary_scary_scary_very cute,"['Scary', 'Scary', 'I'm scared', 'It's so cute', 'I'm curious', 'It's scary', 'It's scary', 'What should I do', 'It's so cute', 'Oh my gosh']","['So scary', 'Scary', 'Scary']",,,,,,,,,,,,,,,,,,,,,
59,380,Utility,Emotional Support,59_Dad_Dad_is_dad's_dad,"['dad', 'dad', 'dad's', 'it's dad', 'dad', 'cheer up', 'good', 'cool', 'dad's', 'looks like']","['Fighting, Dad', 'Fighting, Dad', 'Fighting, Dad']",,,,,,,,,,,,,,,,,,,,,
60,238,Utility,Emotional Support,60_Angel_It's an angel_It's an angel_It's beautiful,"['Angel', 'It's an angel', 'It's an angel', 'It's beautiful', 'It came down', 'It's pretty', 'From the sky', 'It's so cute', 'It's an angel', 'Angel']","['Angel is an angel', 'Angel is an angel', 'Angel is an angel']",,,,,,,,,,,,,,,,,,,,,
61,224,,,61_Heo Kyung-young_Heo Kyung-young_President_Lee Jae-myung,"['Heo Kyung-young', 'Heo Kyung-young-ee', 'President', 'Lee Jae-myung', 'Heo Kyung-young-eul', 'Vote for', 'Lee Jae-myung-ee', 'Pledge', 'Thieves', 'As expected']","['Heo Gyeong-yeong', 'Heo Gyeong-yeong', 'Heo Gyeong-yeong He ...']",,,,,,,,,,,,,,,,,,,,,
